type	max_ratio	min_ratio	average_ratio
pykspa_v1	1.0	0.0	0.0651127490419
murofet	0.642857142857	0.0	0.0491519169757
padcrypt	0.4375	0.0	0.109375
ramnit	0.9	0.0	0.0614266568105
gameover	0.454545454545	0.0	0.0230338885427
ranbyus	0.588235294118	0.0	0.0648897058824
vidro	0.777777777778	0.0	0.0524953102453
blackhole	0.1875	0.0	0.09375
ccleaner	0.0	0.0	0.0
xshellghost	0.230769230769	0.230769230769	0.230769230769
pykspa_v2_real	0.666666666667	0.0	0.0438289934521
locky	0.75	0.0	0.0560850435242
tempedreve	0.6	0.0	0.0611130563336
simda	1.0	0.0	0.127219401737
qadars	0.583333333333	0.0	0.0268055555556
symmi	0.666666666667	0.0	0.176743395493
banjori	1.0	0.0	0.359242613752
tinba	1.0	0.0	0.0526688979015
rovnix	0.555555555556	0.0	0.0269752908089
madmax	0.0	0.0	0.0
dyre	0.176470588235	0.0	0.00679411764706
suppobox	1.0	0.0	0.845839387795
tofsee	0.428571428571	0.0	0.0428571428571
chinad	0.375	0.0	0.0244375
matsnu	1.0	0.363636363636	0.944508240342
pykspa_v2_fake	0.545454545455	0.0	0.0529531864325
fobber_v2	0.7	0.0	0.0536912751678
proslikefan	0.571428571429	0.0	0.0364415584416
necurs	0.777777777778	0.0	0.0596345821334
gspy	0.1875	0.0	0.0075
cryptolocker	0.583333333333	0.0	0.0644752747253
vawtrak	0.571428571429	0.0	0.0699739484974
bamital	0.09375	0.0	0.00349971719457
shifu	1.0	0.0	0.0491858317945
emotet	0.8125	0.0	0.0651220918516
dircrypt	0.444444444444	0.0	0.0505351084226
nymaim	0.5	0.0	0.0487393382195
fobber_v1	0.352941176471	0.0	0.0532964863798
mirai	0.0	0.0	0.0
conficker	0.75	0.0	0.0533180425263
virut	1.0	0.0	0.0622463695207
