,type,successfuf_judge_rate,average_distance,total_count
0,gameover,0.900916666667,2.63087340252,12000
1,locky,0.529676258993,2.03421427842,1112
2,nymaim,0.569306930693,2.10846024181,404
3,symmi,0.046875,1.40489806009,64
4,conficker,0.6203904555309999,2.1704270796,461
5,pykspa_v2_real,0.613065326633,2.15894276089,199
6,pykspa_v2_fake,0.612015018773,2.14511346619,799
7,bamital,0.990384615385,3.16349007516,104
8,qadars,0.821111111111,2.56810051974,1800
9,necurs,0.479614257812,1.9801870124400005,8192
10,cryptolocker,0.445,1.94690812521,1000
11,proslikefan,0.6,2.21595838567,100
12,ranbyus,0.410282258065,1.91135017333,4960
13,murofet,0.562887760857,2.10200854255,5319
14,suppobox,0.0033571128829200003,0.348633912207,2383
15,vidro,0.6,2.15331601386,100
16,tofsee,0.0,1.61904818344,20
17,dyre,0.999,3.13349524416,1000
18,chinad,0.8540000000000001,2.5588546073800003,1000
19,virut,0.5884897877049999,2.12305380987,9939
20,emotet,0.4195570881570001,1.92350575108,223295
21,matsnu,0.0,0.209790325322,884
22,padcrypt,0.154761904762,1.6657130899,168
23,fobber_v1,0.496644295302,2.01190105639,298
24,dircrypt,0.553191489362,2.0485356445900003,470
25,tinba,0.55680548157,2.06821250066,95739
26,ramnit,0.457383330193,1.96952626585,15921
27,banjori,0.0295820447467,0.8561662883050001,452369
28,simda,0.317045033167,1.7658576714900005,24271
29,fobber_v2,0.58389261745,2.0963404948,298
30,tempedreve,0.553921568627,2.06966932826,204
31,vawtrak,0.536912751678,2.04943397681,298
32,rovnix,0.8387964176980001,2.47869190213,179996
33,gspy,0.99,3.38445290885,100
34,pykspa_v1,0.476041340432,1.93981369369,44702
35,shifu,0.640423031727,2.18434573819,2553
