,type,total_count,average_distance,judge_non_dga,recall
0,gameover,12000,2.30426810733,0.21833333333299998,0.959923664122
1,locky,1112,1.8518546304799999,0.66726618705,0.870619946092
2,nymaim,404,1.9200409836599999,0.581683168317,0.8680851063830001
3,symmi,64,1.33583610339,0.984375,0.52380952381
4,conficker,461,1.9688986844,0.548806941432,0.8814229249009999
5,pykspa_v2_real,199,1.96462763616,0.613065326633,0.918032786885
6,pykspa_v2_fake,799,1.9466670931099999,0.5494367959950001,0.8678815489749999
7,bamital,104,2.7485041176,0.0384615384615,1.0
8,qadars,1800,2.26368776835,0.32,0.921875
9,necurs,8192,1.80275439433,0.723876953125,0.851096121417
10,cryptolocker,1000,1.77597206028,0.741,0.8313090418350001
11,proslikefan,100,2.0106245542099996,0.55,0.909090909091
12,ranbyus,4960,1.7415534712099998,0.793346774194,0.826937738247
13,murofet,5319,1.8946336617,0.622485429592,0.864693446089
14,suppobox,2383,0.299991509715,0.9987410826690001,0.0159663865546
15,vidro,100,1.94962015985,0.56,0.875
16,tofsee,20,1.5843410145200003,1.0,0.9
17,dyre,1000,2.72274971006,0.027999999999999997,1.0
18,chinad,1000,2.25149058738,0.26899999999999996,0.947955390335
19,virut,9939,1.9522447318400002,0.554582956032,0.8797169811319999
20,emotet,223295,1.75129014135,0.785924449719,0.834722752474
21,matsnu,884,0.172215438064,1.0,0.00452488687783
22,padcrypt,168,1.55687992006,0.916666666667,0.694805194805
23,fobber_v1,298,1.81920453847,0.7114093959729999,0.891509433962
24,dircrypt,470,1.85506428621,0.642553191489,0.8807947019869999
25,tinba,95739,1.87453112854,0.645546746885,0.8614490971459999
26,ramnit,15921,1.7939029996200002,0.7312982852840001,0.8451430043800001
27,banjori,452369,0.8006083263160001,0.9878042040899999,0.143917896753
28,simda,24271,1.6225146469,0.815087965061,0.740231511904
29,fobber_v2,298,1.90011545752,0.604026845638,0.8722222222220001
30,tempedreve,204,1.8790091089900005,0.632352941176,0.829457364341
31,vawtrak,298,1.85129368061,0.644295302013,0.8125
32,rovnix,179996,2.18523305167,0.328996199916,0.9430916275460001
33,gspy,100,2.94151318465,0.02,1.0
34,pykspa_v1,44702,1.8044580929299998,0.6818710572229999,0.77251402513
35,shifu,2553,1.98742566215,0.506462984724,0.8855375096670001
