,type,max_ratio,min_ratio,average_ratio
0,pykspa_v1,1.0,0.0,0.0651127490419
1,murofet,0.642857142857,0.0,0.0491519169757
2,padcrypt,0.4375,0.0,0.109375
3,ramnit,0.9,0.0,0.0614266568105
4,gameover,0.45454545454499995,0.0,0.0230338885427
5,ranbyus,0.588235294118,0.0,0.0648897058824
6,vidro,0.777777777778,0.0,0.0524953102453
7,pykspa_v2_real,0.666666666667,0.0,0.0438289934521
8,locky,0.75,0.0,0.0560850435242
9,tempedreve,0.6,0.0,0.061113056333599994
10,simda,1.0,0.0,0.127219401737
11,qadars,0.583333333333,0.0,0.0268055555556
12,symmi,0.666666666667,0.0,0.176743395493
13,banjori,1.0,0.0,0.359242613752
14,tinba,1.0,0.0,0.0526688979015
15,rovnix,0.555555555556,0.0,0.026975290808900005
16,dyre,0.176470588235,0.0,0.00679411764706
17,suppobox,1.0,0.0,0.8458393877949999
18,tofsee,0.428571428571,0.0,0.042857142857099996
19,chinad,0.375,0.0,0.0244375
20,matsnu,1.0,0.363636363636,0.944508240342
21,pykspa_v2_fake,0.545454545455,0.0,0.0529531864325
22,fobber_v2,0.7,0.0,0.0536912751678
23,proslikefan,0.5714285714289999,0.0,0.0364415584416
24,necurs,0.777777777778,0.0,0.059634582133400005
25,gspy,0.1875,0.0,0.0075
26,cryptolocker,0.583333333333,0.0,0.0644752747253
27,vawtrak,0.5714285714289999,0.0,0.06997394849739999
28,bamital,0.09375,0.0,0.00349971719457
29,shifu,1.0,0.0,0.0491858317945
30,emotet,0.8125,0.0,0.06512209185159999
31,dircrypt,0.444444444444,0.0,0.050535108422600006
32,nymaim,0.5,0.0,0.048739338219499995
33,fobber_v1,0.35294117647100004,0.0,0.0532964863798
34,conficker,0.75,0.0,0.0533180425263
35,virut,1.0,0.0,0.0622463695207
